Question label (short version),Full question text,Question type,Relevant expertise,Notes (short),Metaculus link,Type of Metaculus question,Source/series (Metaculus),Variants to elicit,PQ,Question Code
Animal welfare benefit of cultured meat vs best alternative Animal Welfare intervention,"Will the animal welfare benefit* of having donated $100,000 in 2026 to fund the development and availability of cultured meat (~chicken-imitating) exceed the benefit of having donated the same amount to support The Human League’s corporate animal welfare campaigns (for chickens)? [Binary question, state a probability between 0 and 1]

*measured by your preferred ‘welfare-footprint-like metric’ ","(3) Metaculus,(4) Candidate PQ,(2) Goal-oriented",,This is also goal-oriented,https://www.metaculus.com/c/unjournal/40925/cultured-meat-vs-corporate-campaign-animal-welfare-benefit/,Unjournal community,Unjournal PQ,,Cell-cultured meat cost and price,CM_11
"Will most cultured meat (by volume) be produced with hydrolysates replacing growth factors in 2036? ","Will most cultured meat (by volume) be produced using hydrolysates as a replacement for expensive purified growth factors (FGF, TGF-β, insulin, etc.)  in 2036?  [Text in italics added feb 14 2025]","(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_12
Average cost of growth factors by 2036,What will be the average cost of recombinant growth factors per gram (of input) in commercial cultured meat production in 2036?,"(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_13
Cell media costs in 2036,What will be the cost of cell media per kg of cultured meat in 2036?,"(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_14
Amino acid volume required to produce 1kg of cultured meat in 2036,"What will be the mass of amino acids (in grams) required per kg of cultured meat output in commercial production by 2036?*
*[Adjusted from previous cell media volume question]","(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_15
Maximum cell density achieved in 20k liter bioreactor by 2036,"What will be the highest cell density of cultivated meat produced in a 20,000 liter bioreactor by 2036?","(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_16
Food-grade vs pharmaceutical-grade cell media,"By 2036, what percent of commercial cultured meat will be produced using food-grade cell media (as opposed to pharmaceutical-grade)?","(5) Subquestion, secondary q, or building-block",,"Although some past sources seem to suggest that pharmaceutical-grade cell media would be necessary for safe cultured meat production, food-grade media and bioreactors seem to be the current standard. We are currently investigating whether questions of pharmaceutical-grade vs food-grade resources are still relevant. ",,,,,Cell-cultured meat cost and price,CM_17
Price of cultured meat with widespread hydrolysate use,"Conditional on  “most CM is produced with plant hydrolysates in 2036?”, what will be the average price of 1 kg of cultured meat?","(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_18
Price of cultured meat without widespread hydrolysate use,"Conditional on  “most CM is NOT produced with plant hydrolysates in 2036?”, what will be the average price of 1 kg of cultured meat? ","(5) Subquestion, secondary q, or building-block",,,,,,,Cell-cultured meat cost and price,CM_19
What share of cultured meat companies (those with capex over $10 million) will design and build their own bioreactors by 2036?,What share of cultured meat companies (those with capex over $10 million) will design and build their own bioreactors by 2036?,"(5) Subquestion, secondary q, or building-block",,"This question is based on some reports that companies can design and build their own bioreactors for a much lower cost than purchasing off-the-shelf pharmaceutical bioreactors. ",,,,,Cell-cultured meat cost and price,CM_20
